dataset,decile,n_events,predicted_gain_mean,realized_gain_mean,realized_gain_sem
kitti,1,1865,0.000102,0.002427,0.000602
kitti,2,1865,0.000519,0.002884,0.000668
kitti,3,1865,0.000921,0.003166,0.000650
kitti,4,1865,0.001369,0.003027,0.000551
kitti,5,1865,0.001929,0.003149,0.000603
kitti,6,1865,0.002672,0.003318,0.000661
kitti,7,1865,0.003652,0.003938,0.000657
kitti,8,1865,0.005062,0.003182,0.000555
kitti,9,1865,0.007362,0.005359,0.000848
kitti,10,1866,0.015424,0.007403,0.000982
nuscenes,1,2489,0.000337,0.004423,0.000788
nuscenes,2,2488,0.001376,0.005756,0.000889
nuscenes,3,2488,0.002450,0.005890,0.001032
nuscenes,4,2489,0.003722,0.007863,0.001147
nuscenes,5,2488,0.005121,0.005763,0.000842
nuscenes,6,2488,0.006811,0.007533,0.001037
nuscenes,7,2489,0.008931,0.008300,0.001113
nuscenes,8,2488,0.011862,0.009767,0.001142
nuscenes,9,2488,0.016631,0.011802,0.001427
nuscenes,10,2489,0.032702,0.021454,0.002006
