dataset,scheme,deadline_rounds,delivery_success_mean,delivery_success_std
kitti,Proposed,1,0.1720,0.0028
kitti,Proposed,2,0.2401,0.0046
kitti,Proposed,3,0.2860,0.0048
kitti,Proposed,5,0.3500,0.0045
kitti,Proposed,10,0.4494,0.0044
kitti,Proposed,20,0.5728,0.0046
kitti,Caching-assisted,1,0.0793,0.0028
kitti,Caching-assisted,2,0.1379,0.0047
kitti,Caching-assisted,3,0.1842,0.0063
kitti,Caching-assisted,5,0.2549,0.0081
kitti,Caching-assisted,10,0.3662,0.0103
kitti,Caching-assisted,20,0.4981,0.0133
kitti,V2V-aware,1,0.0797,0.0023
kitti,V2V-aware,2,0.1359,0.0036
kitti,V2V-aware,3,0.1787,0.0048
kitti,V2V-aware,5,0.2435,0.0061
kitti,V2V-aware,10,0.3477,0.0073
kitti,V2V-aware,20,0.4739,0.0088
kitti,Learning-aware,1,0.1184,0.0046
kitti,Learning-aware,2,0.1566,0.0066
kitti,Learning-aware,3,0.1860,0.0079
kitti,Learning-aware,5,0.2332,0.0105
kitti,Learning-aware,10,0.3194,0.0166
kitti,Learning-aware,20,0.4395,0.0248
kitti,mmFedMC,1,0.1692,0.0063
kitti,mmFedMC,2,0.2180,0.0087
kitti,mmFedMC,3,0.2520,0.0108
kitti,mmFedMC,5,0.3037,0.0138
kitti,mmFedMC,10,0.3960,0.0160
kitti,mmFedMC,20,0.5189,0.0158
kitti,AutoFed,1,0.1633,0.0063
kitti,AutoFed,2,0.2108,0.0088
kitti,AutoFed,3,0.2448,0.0104
kitti,AutoFed,5,0.2978,0.0129
kitti,AutoFed,10,0.3934,0.0150
kitti,AutoFed,20,0.5245,0.0177
nuscenes,Proposed,1,0.1648,0.0059
nuscenes,Proposed,2,0.2381,0.0061
nuscenes,Proposed,3,0.2858,0.0069
nuscenes,Proposed,5,0.3503,0.0090
nuscenes,Proposed,10,0.4498,0.0102
nuscenes,Proposed,20,0.5718,0.0117
nuscenes,Caching-assisted,1,0.0778,0.0052
nuscenes,Caching-assisted,2,0.1343,0.0092
nuscenes,Caching-assisted,3,0.1784,0.0116
nuscenes,Caching-assisted,5,0.2441,0.0148
nuscenes,Caching-assisted,10,0.3479,0.0156
nuscenes,Caching-assisted,20,0.4744,0.0127
nuscenes,V2V-aware,1,0.0666,0.0037
nuscenes,V2V-aware,2,0.1125,0.0058
nuscenes,V2V-aware,3,0.1473,0.0072
nuscenes,V2V-aware,5,0.2006,0.0088
nuscenes,V2V-aware,10,0.2917,0.0125
nuscenes,V2V-aware,20,0.4144,0.0156
nuscenes,Learning-aware,1,0.1209,0.0113
nuscenes,Learning-aware,2,0.1552,0.0109
nuscenes,Learning-aware,3,0.1819,0.0103
nuscenes,Learning-aware,5,0.2256,0.0092
nuscenes,Learning-aware,10,0.3084,0.0076
nuscenes,Learning-aware,20,0.4272,0.0044
nuscenes,mmFedMC,1,0.1160,0.0083
nuscenes,mmFedMC,2,0.1506,0.0079
nuscenes,mmFedMC,3,0.1749,0.0072
nuscenes,mmFedMC,5,0.2132,0.0062
nuscenes,mmFedMC,10,0.2848,0.0046
nuscenes,mmFedMC,20,0.3866,0.0074
nuscenes,AutoFed,1,0.1362,0.0080
nuscenes,AutoFed,2,0.1788,0.0089
nuscenes,AutoFed,3,0.2107,0.0097
nuscenes,AutoFed,5,0.2616,0.0106
nuscenes,AutoFed,10,0.3549,0.0093
nuscenes,AutoFed,20,0.4856,0.0040
